state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
South Carolina,South Carolina,509,573,87,7.6,6,11.8,5.6
South Carolina,South Carolina,417,574,104,6.4,5.3,9.9,9
South Carolina,South Carolina,545,610,131,5.9,4.1,10.7,6.2
South Carolina,South Carolina,546,600,129,4.9,4,7.5,3.6
South Carolina,South Carolina,454,576,98,4.4,3.1,8.199999999999999,4.3
South Dakota,South Dakota,12,,10,5,4.4,,10.2
South Dakota,South Dakota,20,,11,5.1,4.2,,7.2
South Dakota,South Dakota,24,,11,4.9,4,,9.5
South Dakota,South Dakota,18,,11,4.6,3.8,,8.9
South Dakota,South Dakota,18,,12,3.6,2.8,,7.4
South Dakota,South Dakota,14,,12,3.5,2.8,,6.1
South Dakota,South Dakota,11,,,3.5,2,,
South Dakota,South Dakota,17,,,2.8,1.5,,
South Dakota,South Dakota,20,,,3.6,2.2,,
Tennessee,Tennessee,1465,496,124,10.8,9.699999999999999,15.9,17.4
Tennessee,Tennessee,1516,512,117,9.4,8.300000000000001,14.6,8.5
Tennessee,Tennessee,1314,538,110,9.199999999999999,7.9,14.9,10.6
Tennessee,Tennessee,1276,507,153,7.8,6.8,13.1,5.5
Tennessee,Tennessee,1121,527,146,8,6.6,15,8
Tennessee,Tennessee,1361,513,175,6.6,5.5,11.5,4.4
Tennessee,Tennessee,1052,531,169,5.7,5.1,7.5,4
Tennessee,Tennessee,1022,532,163,4.7,3.8,8.9,3.8
Tennessee,Tennessee,970,538,151,3.7,3.3,6.1,2.4
Texas,Texas,2934,1331,4296,7.5,7,12.1,9
Texas,Texas,3142,1401,4372,8,7.4,13.4,9.4
Texas,Texas,3610,1447,4527,7.8,7,13.4,8.9
Texas,Texas,3037,1501,4795,6.7,6,11,7.7
Texas,Texas,3167,1561,4935,6.3,5.6,10.7,6.9
Texas,Texas,2913,1618,4928,5,4.3,9.5,5.3
Texas,Texas,3353,1609,4666,4.4,4.1,7.5,4.9
Texas,Texas,3244,1662,4851,4.6,4.2,6.9,4.9
Texas,Texas,2999,1742,4894,4.3,3.9,6.9,4.7
Utah,Utah,21,,148,7.3,7,,12
Utah,Utah,34,18,147,8.199999999999999,8.1,11.4,12.6
Utah,Utah,37,18,142,7,6.9,2.5,8.5
Utah,Utah,32,,174,5.8,5.5,,7.9
Utah,Utah,38,,167,4.4,4.1,,5.7
Utah,Utah,46,,186,3.9,3.8,,4.5
Utah,Utah,48,,182,3.6,3.6,,6
Utah,Utah,38,,194,3.6,3.6,,3.3
Utah,Utah,30,,232,3.4,3.1,,4.6
